Start Date,Time,DUT1 Correction,DUT1_Correction
2024-12-26,0000 UTC,+0.0 s,0
2024-09-05,0000 UTC,+0.1 s,0.1
2022-07-28,0000 UTC,+0.0 s,0
2021-07-17,0000 UTC,-0.1 s,-0.1
2019-05-02,0000 UTC,-0.2 s,-0.2
2019-01-17,0000 UTC,-0.1 s,-0.1
2018-09-21,0000 UTC,+0.0 s,0
2018-03-15,0000 UTC,+0.1 s,0.1
2017-11-30,0000 UTC,+0.2 s,0.2
2017-06-29,0000 UTC,+0.3 s,0.3
2017-03-30,0000 UTC,+0.4 s,0.4
2017-01-26,0000 UTC,+0.5 s,0.5
2017-01-01,0000 UTC,+0.6 s,0.6
2016-11-17,0000 UTC,-0.4 s,-0.4
2016-09-01,0000 UTC,-0.3 s,-0.3
2016-05-19,0000 UTC,-0.2 s,-0.2
2016-03-24,0000 UTC,-0.1 s,-0.1
2016-01-31,0000 UTC,0.0 s,0
