Date,MJD,"UTC-UTC(NIST), ns"
2024-06-28,60489,0.1
2024-06-18,60479,0.0
2024-06-08,60469,-0.2
2024-05-29,60459,0.0
2024-05-19,60449,0.5
2024-05-09,60439,0.3
2024-04-29,60429,-0.2
2024-04-19,60419,-0.1
2024-04-09,60409,2.0
2024-03-30,60399,0.0
2024-03-20,60389,-1.6
2024-03-10,60379,-0.5
2024-02-29,60369,-0.7
2024-02-19,60359,-0.4
2024-02-09,60349,-1.5
2024-01-30,60339,-1.7
2024-01-20,60329,-1.6
2024-01-10,60319,-2.0
2023-12-31,60309,-0.8
2023-12-21,60299,-1.0
2023-12-11,60289,1.2
2023-12-01,60279,0.0
2023-11-21,60269,-1.0
2023-11-11,60259,-0.6
2023-11-01,60249,0.2
2023-10-22,60239,1.6
2023-10-12,60229,1.9
