Date,MJD,"UTC-UTC(NIST), ns"
2024-02-29,60369,-0.7
2024-02-19,60359,-0.4
2024-02-09,60349,-1.5
2024-01-30,60339,-1.7
2024-01-20,60329,-1.6
2024-01-10,60319,-2.0
2023-12-31,60309,-0.8
2023-12-21,60299,-1.0
2023-12-11,60289,1.2
2023-12-01,60279,0.0
2023-11-21,60269,-1.0
2023-11-11,60259,-0.6
2023-11-01,60249,0.2
2023-10-22,60239,1.6
2023-10-12,60229,1.9
2023-10-02,60219,1.7
2023-09-22,60209,0.5
2023-09-12,60199,0.1
2023-09-02,60189,0.0
2023-08-23,60179,-0.7
2023-08-13,60169,-0.7
2023-08-03,60159,0.8
2023-07-24,60149,0.8
2023-07-14,60139,0.8
2023-07-04,60129,-0.2
2023-06-24,60119,-0.8
2023-06-14,60109,-0.5
