Date,MJD,"UTC-UTC(NIST), ns"
2024-09-26,60579,-0.2
2024-09-16,60569,-0.8
2024-09-06,60559,-1.5
2024-08-27,60549,-1.1
2024-08-17,60539,-0.1
2024-08-07,60529,0.6
2024-07-28,60519,0.2
2024-07-18,60509,-0.1
2024-07-08,60499,0.2
2024-06-28,60489,0.1
2024-06-18,60479,0.0
2024-06-08,60469,-0.2
2024-05-29,60459,0.0
2024-05-19,60449,0.5
2024-05-09,60439,0.3
2024-04-29,60429,-0.2
2024-04-19,60419,-0.1
2024-04-09,60409,2.0
2024-03-30,60399,0.0
2024-03-20,60389,-1.6
2024-03-10,60379,-0.5
2024-02-29,60369,-0.7
2024-02-19,60359,-0.4
2024-02-09,60349,-1.5
2024-01-30,60339,-1.7
2024-01-20,60329,-1.6
2024-01-10,60319,-2.0
