Date,MJD,UT1-UTC(±1 ms),"UTC(USNO,MC) - UTC(NIST) (±5 ns)"
2024-11-30,60644,+49.4 ms,+4.3 ns
2024-11-25,60639,+51.0 ms,+4.8 ns
2024-11-20,60634,+52.2 ms,+4.9 ns
2024-11-15,60629,+51.6 ms,+5.2 ns
2024-11-10,60624,+55.1 ms,+5.9 ns
2024-11-05,60619,+54.1 ms,+5.5 ns
2024-10-31,60614,+53.8 ms,+4.5 ns
2024-10-26,60609,+55.8 ms,+2.9 ns
2024-10-21,60604,+54.7 ms,+2.8 ns
2024-10-16,60599,+57.8 ms,+0.6 ns
2024-10-11,60594,+58.3 ms,+0.2 ns
2024-10-06,60589,+58.7 ms,+0.1 ns
2024-10-01,60584,+59.0 ms,+0.4 ns
2024-09-26,60579,+58.3 ms,+1.4 ns
2024-09-21,60574,+59.9 ms,+0.7 ns
2024-09-16,60569,+59.4 ms,-0.7 ns
2024-09-11,60564,+56.4 ms,-1.2 ns
2024-09-06,60559,+53.8 ms,-1.4 ns
2024-09-01,60554,+51.8 ms,-0.8 ns
2024-08-27,60549,+46.5 ms,-0.6 ns
2024-08-22,60544,+44.5 ms,-0.4 ns
2024-08-17,60539,+42.0 ms,-0.5 ns
2024-08-12,60534,+35.7 ms,1.2 ns
2024-08-07,60529,+32.0 ms,2.0 ns
2024-08-02,60524,+26.5 ms,1.5 ns
2024-07-28,60519,+21.5 ms,0.7 ns
2024-07-23,60514,+20.5 ms,0.5 ns
2024-07-18,60509,+15.0 ms,0.1 ns
2024-07-13,60504,+10.6 ms,0.1 ns
2024-07-08,60499,+5.7 ms,0.7 ns
2024-07-03,60494,-1.9 ms,1.2 ns
2024-06-28,60489,-4.9 ms,1.9 ns
2024-06-23,60484,-9.0 ms,1.0 ns
2024-06-18,60479,-15.0 ms,1.1 ns
2024-06-13,60474,-17.5 ms,1.6 ns
2024-06-08,60469,-20.3 ms,1.5 ns
2024-06-03,60464,-21.6 ms,0.6 ns
2024-05-29,60459,-19.3 ms,0.7 ns
2024-02-29,60369,-3.1 ms,-0.5 ns
2024-02-24,60364,-1.7 ms,-0.1 ns
2024-02-19,60359,-2.8 ms,0 ns
2024-02-14,60354,-0.08 ms,-0.5 ns
2024-02-09,60349,+3.50 ms,-1.1 ns
2024-02-04,60344,+3.16 ms,-1.7 ns
2024-01-30,60339,+5.5 ms,-1.2 ns
2024-01-25,60334,+6.7 ms,-1.7 ns
2024-01-20,60329,+5.6 ms,-1.0 ns
2024-01-15,60324,+7.8 ms,-2.6 ns
2024-01-10,60319,+7.4 ms,-1.4 ns
2024-01-05,60314,+7.3 ms,-0.3 ns
